Team,Name,Position,Age,Height,Weight,Salary,ContractYears,Health,POT,Intangibles,SPD,AGI,STR,VERT,STA,HUS,DUR,CLOSE,MID,3C,3_45,3T,FT,SIQ,OCON,LAY,DNK,POST,DRAW,HANDS,PACC,HANDL,SPWB,PIQ,PVIS,IDEF,PDEF,LOCK,STL,BLK,HDEF,PPER,DCON,OREB,DREB
댈러스 매버릭스,Jaden Hardy,SG,23,191,90,2,1,Healthy,78,45,83,83,39,85,84,85,80,87,79,81,82,81,85,60,70,80,80,47,46,85,75,83,76,75,50,35,55,48,43,37,50,51,50,38,48
댈러스 매버릭스,Dwight Powell,C,34,208,109,4,2,Healthy,76,30,71,58,80,67,90,95,83,92,69,78,75,75,65,30,45,70,70,77,83,90,55,60,44,64,50,74,45,31,46,73,68,74,65,69,54
댈러스 매버릭스,Kyrie Irving,PG,33,188,88,40,2,Injured,85,75,85,85,37,81,89,87,80,91,98,86,91,93,92,80,95,97,27,54,75,97,84,99,91,82,74,32,67,41,53,51,67,75,55,43,51
댈러스 매버릭스,Dereck Lively,C,21,216,104,5,2,Injured,87,50,50,57,70,67,80,95,65,97,55,47,45,45,62,80,50,82,83,59,40,90,69,52,40,68,61,83,57,61,38,90,80,54,80,78,80
휴스턴 로케츠,Amen Thompson,PG,23,201,95,9.2,2,Healthy,88,75,95,93,59,99,95,85,80,86,71,65,65,65,80,75,60,83,87,44,44,95,80,86,90,80,70,78,93,87,67,53,92,90,95,72,70
휴스턴 로케츠,Kevin Durant,SF,37,211,109,51.2,1,Healthy,90,45,80,78,63,77,94,90,88,98,98,90,92,95,89,70,98,96,82,86,97,98,78,92,80,88,68,70,77,45,37,66,75,75,75,30,62
휴스턴 로케츠,Tari Eason,PF,24,203,98,3.6,1,Healthy,85,75,80,85,70,80,85,85,80,81,68,88,89,87,77,60,50,82,79,51,44,80,50,70,72,47,36,78,85,87,73,63,84,85,80,68,72
휴스턴 로케츠,Jabari Smith Jr.,PF,22,211,100,9.5,2,Healthy,88,80,76,76,60,75,89,85,80,95,74,84,82,80,80,72,82,75,80,76,54,85,65,75,69,66,34,70,69,72,37,61,67,67,55,50,69
휴스턴 로케츠,Alperen Sengun,C,23,211,110,35.1,5,Healthy,92,98,52,64,86,69,88,90,84,97,79,75,76,72,73,98,98,87,80,89,79,95,79,62,48,84,74,72,63,47,63,66,69,85,65,69,75
휴스턴 로케츠,Reed Sheppard,PG,21,191,84,8.5,4,Healthy,83,75,90,89,56,87,93,95,80,90,82,85,86,84,78,70,75,79,35,40,62,90,79,79,84,79,67,54,78,61,93,62,70,77,70,32,51
휴스턴 로케츠,Josh Okogie,SG,27,193,95,7,1,Healthy,81,75,89,84,58,92,80,95,82,65,70,84,85,85,73,70,70,77,70,42,49,70,69,76,81,62,31,50,77,77,76,47,78,77,70,58,47
휴스턴 로케츠,Dorian Finney-Smith,PF,32,201,100,14,2,Healthy,80,70,67,82,62,83,80,80,81,80,71,83,82,85,64,70,65,84,80,58,58,72,65,60,44,68,32,72,83,85,43,51,74,74,75,47,62
휴스턴 로케츠,Steven Adams,C,32,211,120,12.6,1,Healthy,82,70,48,63,96,70,68,75,89,67,65,26,24,24,65,40,60,69,72,70,59,75,69,35,33,68,35,80,55,35,46,72,80,70,75,98,80
휴스턴 로케츠,Aaron Holiday,PG,29,183,84,4.5,1,Healthy,79,60,76,77,49,56,85,85,84,92,89,84,85,84,86,70,65,79,60,32,47,80,82,86,76,82,37,34,68,55,42,50,67,69,45,29,40
휴스턴 로케츠,Clint Capela,C,31,208,109,22,1,Healthy,85,40,58,51,82,68,78,75,83,78,50,25,25,25,50,70,30,70,80,64,34,70,34,48,30,35,30,83,47,35,73,87,86,74,80,96,78
휴스턴 로케츠,JD Davison,PG,23,191,88,1.2,3,Healthy,78,60,85,85,54,84,88,45,80,70,73,71,73,71,73,50,50,72,85,38,40,80,72,86,84,75,72,25,56,25,69,61,55,54,45,36,55
휴스턴 로케츠,Jeff Green,PF,39,203,107,6,1,Healthy,78,50,63,75,70,84,89,85,82,88,75,76,75,72,82,50,50,79,70,72,51,85,65,74,50,64,33,69,70,60,32,62,68,54,60,41,49
휴스턴 로케츠,Jae'Sean Tate,SF,30,193,104,7,1,Healthy,80,30,69,70,65,75,89,95,80,94,70,76,74,75,69,50,40,84,75,69,54,85,70,74,62,72,38,70,70,70,70,42,68,69,54,65,55
멤피스 그리즐리스,Ja Morant,PG,26,188,79,36.7,3,Healthy,93,50,95,95,52,97,97,75,70,82,70,72,70,70,90,70,85,89,96,54,90,98,87,93,95,85,89,49,72,56,49,40,79,78,75,32,51
멤피스 그리즐리스,Cedric Coward,SG,23,196,91,1.5,4,Healthy,87,90,88,84,57,83,95,85,80,97,80,76,75,76,85,80,75,84,80,42,45,80,68,73,79,68,63,58,73,64,37,51,71,68,55,57,75
멤피스 그리즐리스,Jaylen Wells,SF,22,201,93,2,4,Healthy,80,60,86,80,60,67,85,85,80,91,93,77,77,75,80,60,45,78,70,42,55,80,62,75,70,64,38,51,80,74,46,32,78,75,75,41,50
멤피스 그리즐리스,Jaren Jackson Jr.,PF,26,208,110,27.1,2,Healthy,91,75,63,80,82,75,90,80,94,98,66,79,78,76,75,75,75,82,85,85,70,80,46,60,33,50,40,93,80,85,42,82,95,71,95,40,66
멤피스 그리즐리스,Jock Landale,C,30,211,116,8,2,Healthy,80,70,54,54,64,75,80,70,80,97,89,84,82,85,67,75,65,75,65,84,44,70,57,52,45,57,41,71,48,32,37,61,62,60,45,86,63
멤피스 그리즐리스,Cam Spencer,SG,24,193,93,1.2,4,Healthy,82,85,73,73,45,53,85,90,80,97,84,91,93,92,92,75,75,69,35,37,52,85,79,77,70,79,75,44,59,45,43,30,50,52,45,32,48
멤피스 그리즐리스,Vince Williams Jr.,SG,25,193,93,2.5,3,Healthy,82,40,68,82,52,70,87,90,80,86,79,72,72,70,80,60,40,75,70,44,44,70,80,79,60,80,80,55,79,70,63,56,77,75,75,44,68
멤피스 그리즐리스,Kentavious Caldwell-Pope,SG,32,196,93,14,1,Healthy,82,40,85,84,60,69,92,85,84,88,82,80,84,80,93,50,40,74,73,35,40,90,67,70,80,68,69,45,87,85,53,47,82,82,85,34,49
멤피스 그리즐리스,Santi Aldama,PF,24,211,102,4,2,Healthy,84,70,59,60,70,59,80,80,79,92,86,77,78,77,68,80,75,79,65,72,50,95,70,68,55,70,63,67,66,40,46,62,74,68,65,54,75
멤피스 그리즐리스,Christian Koloko,C,25,213,104,1.8,1,Healthy,79,60,72,72,59,75,80,80,80,59,60,29,29,30,63,75,35,74,75,51,50,70,37,42,44,52,29,75,37,21,78,84,75,50,70,52,57
멤피스 그리즐리스,Javon Small,PG,23,188,84,1.1,4,Healthy,80,40,87,85,49,89,85,70,80,75,76,73,70,70,88,50,40,75,65,32,50,80,75,79,84,75,62,44,64,50,70,25,60,57,40,30,39
멤피스 그리즐리스,GG Jackson,PF,20,206,95,2,3,Healthy,85,45,82,79,62,82,88,60,80,91,70,70,70,70,71,60,55,71,65,59,49,95,59,62,80,50,33,58,58,45,76,72,70,69,40,38,70
멤피스 그리즐리스,Olivier-Maxence Prosper,PF,23,203,104,2.8,2,Healthy,84,80,79,81,60,88,88,85,80,86,68,73,74,70,93,60,40,68,85,47,58,80,65,60,66,61,37,67,74,66,66,50,64,58,60,57,61
멤피스 그리즐리스,Brandon Clarke,PF,29,203,98,12.5,1,Injured,81,60,84,83,64,82,90,95,80,97,78,57,55,50,70,60,35,87,80,62,55,80,59,69,65,62,33,80,75,70,59,65,80,72,80,75,68
멤피스 그리즐리스,Zach Edey,C,23,224,136,3.5,4,Injured,90,65,46,31,84,66,79,85,80,98,78,76,75,74,78,80,70,60,80,82,50,95,58,39,30,63,32,79,37,40,38,94,79,67,75,92,91
멤피스 그리즐리스,Scotty Pippen Jr,PG,24,185,82,1.8,2,Injured,82,80,82,82,39,79,82,75,80,88,57,83,85,83,71,80,75,82,65,36,50,72,85,86,82,85,73,31,62,55,90,56,54,55,50,45,56
멤피스 그리즐리스,Ty Jerome,PG,28,196,88,2,1,Injured,80,50,69,73,46,62,85,68,80,98,94,86,89,86,89,80,90,88,40,38,48,80,84,86,68,84,71,32,56,35,86,27,62,48,35,45,48
뉴올리언스 펠리컨스,Jeremiah Fears,PG,20,188,82,4.5,4,Healthy,91,70,94,88,49,75,85,85,80,73,79,77,77,76,78,65,70,84,40,41,79,85,78,88,92,79,65,38,62,55,63,45,62,60,60,39,54
뉴올리언스 펠리컨스,Trey Murphy III,SF,25,203,93,11,2,Healthy,87,95,84,76,60,82,85,85,80,86,84,82,83,84,91,90,90,81,88,42,41,80,59,64,74,64,59,69,69,58,70,40,69,59,65,43,63
뉴올리언스 펠리컨스,Herbert Jones,SF,27,201,95,13,3,Healthy,84,30,74,91,59,72,82,85,80,63,78,78,75,77,81,50,40,67,75,62,55,75,65,75,69,75,43,62,91,85,75,45,88,88,90,44,51
뉴올리언스 펠리컨스,Zion Williamson,PF,25,198,129,36.7,3,Healthy,86,70,84,81,92,97,83,95,60,83,70,67,65,65,75,75,85,93,93,86,85,95,65,78,74,72,68,59,55,35,56,60,64,70,40,68,70
뉴올리언스 펠리컨스,Derik Queen,C,20,208,110,3.5,4,Healthy,86,70,54,54,80,62,85,80,80,88,69,67,65,66,77,85,85,82,66,78,75,90,79,69,52,82,71,69,52,34,56,75,68,62,60,57,83
뉴올리언스 펠리컨스,Jose Alvarado,PG,27,183,81,6.5,1,Healthy,79,50,76,86,42,78,80,79,80,87,78,80,80,80,83,60,60,70,30,30,40,85,70,73,75,71,69,31,50,85,85,37,85,85,85,34,55
뉴올리언스 펠리컨스,Jordan Poole,SG,26,193,88,27.4,2,Healthy,85,65,81,79,61,73,80,65,80,85,78,76,78,82,91,70,80,88,55,44,78,80,83,89,80,82,69,47,40,57,38,56,54,51,31,30,41
뉴올리언스 펠리컨스,Micah Peavy,SF,24,201,95,1.5,1,Healthy,79,50,85,82,53,78,85,75,80,68,75,74,75,72,66,60,50,79,75,51,42,85,75,76,70,75,36,59,56,71,53,40,70,55,50,56,48
뉴올리언스 펠리컨스,Saddiq Bey,SF,26,201,98,4.5,1,Healthy,82,85,63,72,69,70,81,90,81,97,67,76,78,78,81,90,80,84,60,42,84,84,64,76,57,75,42,64,69,69,43,30,67,65,65,55,65
뉴올리언스 펠리컨스,Yves Missi,C,21,213,104,2.8,4,Healthy,84,75,78,67,72,85,80,95,80,75,42,30,30,30,51,60,35,65,82,62,40,90,29,35,45,37,35,75,34,48,36,91,70,45,60,93,63
뉴올리언스 펠리컨스,Jordan Hawkins,SG,23,196,88,4,2,Healthy,83,75,70,72,48,67,89,80,80,48,70,74,75,74,83,70,60,75,50,44,55,80,70,74,68,71,33,45,65,65,32,25,67,64,50,38,56
뉴올리언스 펠리컨스,Bryce McGowens,SG,23,201,84,2,1,Healthy,80,65,74,75,48,81,85,75,80,68,82,86,86,85,77,75,75,74,60,42,55,78,52,74,72,50,38,37,45,66,49,47,65,60,65,36,52
뉴올리언스 펠리컨스,Karlo Matkovic,C,24,211,110,1.5,1,Healthy,80,50,56,51,77,67,80,80,80,85,69,78,76,77,80,70,65,77,75,68,44,75,50,55,47,52,38,73,40,41,37,87,66,54,50,61,82
뉴올리언스 펠리컨스,Kevon Looney,C,29,206,100,8,1,Healthy,80,40,58,69,74,63,85,96,84,74,44,69,65,65,55,50,35,70,70,55,38,66,55,61,48,66,55,72,46,46,59,70,74,64,65,94,77
뉴올리언스 펠리컨스,DeAndre Jordan,C,37,211,120,3.3,1,Healthy,79,60,65,62,85,83,92,80,94,75,25,25,25,25,41,70,25,57,75,52,44,90,25,30,33,66,39,70,57,30,38,72,67,55,55,89,92
뉴올리언스 펠리컨스,Dejounte Murray,PG,29,196,82,25.5,3,Injured,90,70,83,85,40,60,90,90,80,85,71,79,82,82,82,70,75,90,65,49,61,95,82,86,83,82,81,53,78,83,87,51,80,81,80,33,77
샌안토니오 스퍼스,De'Aaron Fox,PG,27,191,84,34.8,2,Healthy,88,85,98,93,46,84,96,90,82,96,92,80,82,82,80,70,95,97,70,30,78,90,85,86,97,85,73,34,75,84,63,45,82,82,80,39,50
샌안토니오 스퍼스,Stephon Castle,PG,21,198,98,6.5,4,Healthy,88,80,82,93,59,72,90,90,80,95,94,70,71,72,73,85,85,88,82,39,84,85,79,83,80,80,78,64,75,83,75,45,77,75,80,45,60
샌안토니오 스퍼스,Devin Vassell,SG,25,196,91,27,4,Healthy,83,60,72,80,60,77,89,85,82,80,94,81,82,82,87,50,75,82,60,65,44,80,76,82,65,79,41,62,80,68,42,52,81,85,80,33,55
샌안토니오 스퍼스,Harrison Barnes,PF,33,203,102,18,1,Healthy,80,75,77,75,70,95,92,75,82,87,77,82,84,80,89,60,70,86,70,79,40,75,62,78,73,67,38,67,72,60,42,35,65,65,60,41,47
샌안토니오 스퍼스,Victor Wembanyama,C,21,224,105,12.2,4,Healthy,99,98,66,69,59,72,97,90,88,89,79,80,80,80,84,98,85,86,90,87,94,98,72,70,64,75,68,96,80,85,41,99,96,78,98,62,98
샌안토니오 스퍼스,Dylan Harper,PG,20,196,93,5.5,4,Healthy,95,80,88,89,52,83,90,85,80,77,70,73,73,73,72,80,75,88,85,45,69,95,75,90,86,75,72,52,70,65,73,42,70,68,65,47,54
샌안토니오 스퍼스,Julian Champagnie,SF,24,201,98,3,3,Healthy,81,75,69,75,37,67,85,75,80,77,78,83,83,83,85,75,75,79,60,52,52,73,66,68,65,64,32,45,75,55,43,53,70,67,70,42,72
샌안토니오 스퍼스,Keldon Johnson,SF,26,196,100,19,3,Healthy,83,70,76,78,70,71,90,95,80,98,83,82,84,84,76,60,75,87,65,62,61,95,74,79,73,74,36,67,73,67,42,32,69,64,65,70,76
샌안토니오 스퍼스,Luke Kornet,C,30,218,113,2.8,1,Healthy,80,85,38,37,66,62,85,85,77,78,56,70,70,70,84,80,75,60,70,78,58,85,50,43,33,60,42,74,32,30,32,85,76,54,70,85,66
샌안토니오 스퍼스,Jordan McLaughlin,PG,29,183,84,2,1,Healthy,79,50,72,74,52,74,80,70,83,73,74,86,85,85,75,85,55,84,40,25,49,70,83,84,70,80,62,25,73,30,86,25,52,74,60,35,53
샌안토니오 스퍼스,Lindy Waters III,SG,28,198,95,2,1,Healthy,78,60,60,69,33,67,83,70,80,90,85,79,79,79,80,75,75,70,35,34,65,70,69,69,50,67,37,53,67,55,46,55,62,62,40,37,60
샌안토니오 스퍼스,Kelly Olynyk,PF,34,211,109,12.8,1,Healthy,81,40,31,35,70,55,89,90,82,88,70,76,75,75,71,75,75,75,60,79,49,78,70,42,25,76,70,70,50,35,53,60,66,45,65,66,71
샌안토니오 스퍼스,David Jones Garcia,SF,23,198,95,1.1,4,Healthy,83,85,73,76,59,78,80,75,87,76,70,76,75,75,78,70,35,72,75,39,44,70,74,60,66,74,74,48,65,50,64,52,67,62,50,54,59
샌안토니오 스퍼스,Jeremy Sochan,PF,22,203,104,5.5,2,Healthy,84,75,70,74,60,74,90,85,80,89,45,72,72,72,68,75,50,84,60,52,79,70,79,79,65,82,52,65,74,70,40,52,69,68,65,67,63
샌안토니오 스퍼스,Bismack Biyombo,C,33,203,116,2,1,Healthy,78,37,48,55,80,63,79,95,83,92,62,25,25,25,51,40,30,60,80,54,39,75,25,35,25,74,35,82,50,35,46,82,85,84,70,65,81
